"WEAPON","","INFO","","","","PREFERENCE","","","PERKS","","","ROLE / NOTES","ANALYSIS","","SOURCE",""
"","Synchronic Roulette","SMG","Kinetic","Strand","Precision","Smallbore
Hammer-forged
Extended Barrel","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Eye of the Storm
Dynamic Sway","Target Lock
Chaos Reshaped
Onslaught","Nanotech Tracer Missiles","Good frame, high base Range & Stability.
Origin trait applies passive chip which can shift TTK w/ Target Lock or Weapons stat.
Neutral TTK shift via Target Lock + 155 Weapons: 0.80 -> 0.70
TTK Shift via Chaos Reshaped x1 or Adrenaline Junkie x2: 0.80 -> 0.70
CR x2 or Adrenaline Junkie x4: => 0.60
Onslaught x1: => 0.75, x2 => 0.71, x3 => 0.67","","A","Neptune Activities","No"
"","Extraordinary Rendition","SMG","Kinetic","Kinetic","Aggressive","Smallbore
Hammer-forged
Corkscrew","Accurized
Steady","Range
Stability","Zen Moment
Firmly Planted","Tap The Trigger
Rampage
Frenzy","None","Base 15 zoom.
TTK shift via Frenzy, Multikill Clip x1, or Rampage x1: 0.75 -> 0.67
One For All, Rampage x2, or Multikill Clip x2: => 0.58
Multikill Clip x3: => 0.50
Incredibly low base stability hurts this gun's effectiveness by being unwieldy.","","D","Xur / Dares of Eternity Loot Pool","No"
"","Escape Velocity","SMG","Kinetic","Kinetic","Lightweight","Model 8 Red
Model 6 Loop
IS 2 Classic","Accurized
Steady","Range
Stability","Zen Moment
Threat Detector
Hip-fire Grip","Surrounded
Elemental Capacitor
Vorpal Weapon","None","Lightweight/movement.
Base 14 zoom, with access to sights to reach up to 16.
Lacks general TTK shift perks.
TTK shift via Surrounded: 0.73 -> 0.53","","C","Xur / Dares of Eternity Loot Pool","No"
"","Funnelweb","SMG","Energy","Void","Lightweight","Smallbore
Hammer-forged
Full Bore","Accurized
Steady","Range
Stability","Perpetual Motion
Killing Wind","Rangefinder
Frenzy
Focused Fury","Veist Stinger","Lightweight/movement.
TTK shift via Frenzy or Focused Fury: 0.73 -> 0.60
Non-tiered, non-enhanceable.","","B","Gunsmith Legacy Focusing","No"
"","Stochastic Variable","SMG","Energy","Arc","Lightweight","Smallbore
Hammer-forged
Full Bore","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Killing Wind
Under Pressure","Multikill Clip
Dragonfly
Elemental Capacitor","None","Lightweight/movement.
Decent perks on a good frame.
TTK shift via Multikill Clip x1: 0.73 -> 0.60
Multikill Clip x2: -> 0.53
Multikill Clip x3: -> 0.47
Non-tiered, non-enhanceable.","","B","Xur / Dares of Eternity Loot Pool","No"
"","Borrowed Time","SMG","Energy","Solar","Aggressive","Extended Barrel
Smallbore
Hammer-forged","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Rangefinder
Dynamic Sway
Killing Wind","Tap The Trigger
Rampage
Frenzy","Field-Tested
Gun and Run","Base 15 zoom.
Lacks neutral TTK shift perks such as Elemental Honing or Target Lock.
Non-tiered, non-enhanceable.","","B","Drifter Vendor Legacy Focusing","No"
"","Antiope-D","SMG","Kinetic","Kinetic","Precision","SC Holo
SD Thermal
GB Iron","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Moving Target
Slideways","Kill Clip
Tap The Trigger
Dynamic Sway","None","Strong perks, good frame, high range.
Base 13, which is 1 lower than usual for SMG but has access to sights for increased zoom which makes this SMG a laser beam at longer ranges.
TTK shift via Kill Clip: 0.80 -> 0.60
Zen Moment & Slideways provide stability.","","A","Unobtainable (Previously Gunsmith/World Drop)","No"
"","Atalanta-D","SMG","Kinetic","Kinetic","Precision","SD Thermal
GA Post","Steady
Extended","Range
Stability","Tap The Trigger","None","None","The OG Crucible SMG terror.
A shadow of its former self.","","D","Unobtainable (Previously Gunsmith/World Drop)","No"
"","CALUS Mini-Tool","SMG","Energy","Solar","MIDA Synergy","Smallbore
Hammer-forged
Extended Barrel","Accurized
Steady","Range
Stability","Moving Target
Slideways
Threat Detector","Disruption Break
Tap The Trigger
Eye of the Storm","To Excess","Functionally lightweight frame.
Lightweight/movement.
Disruption Break for team shoot gameplay.
Low base range. No standard TTK shift perks.","","C","Presage Legacy Loot
Modifier Classic Collections: ON","Yes"
"","MIDA Mini-Tool (Original Variant)","SMG","Energy","Solar","MIDA Synergy","Fluted","Alloy Mag","Range
Stability","Hip-fire Grip","Kill Clip","None","Functionally lightweight frame.
Lightweight/movement.
Curated roll. Low base stats.","","C","Uobtainable (Possibly Gunsmith or Monument of Lost Lights?)","No"
"","No Survivors (Rite of the Nine Variant)","SMG","Energy","Solar","Aggressive","Hammer-forged
Smallbore
Full Bore","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Rangefinder
Heal Clip","Target Lock
Master of Arms
Sword Logic
","Restoration Ritual
Gravity Well","Has access to alternate origin trait which loots ammo bricks on ground within 15yds on reload.
Grav Well CAN proc effects that activate on ammo-pickup, such as Twofold Crown 2pc, or Adhesive Ordnance.
One of the few aggressive frames where Target Lock reduces TtK from neutral still.
TL, Sword Logic x2, Master of Arms x1: 0.75 -> 0.67
Master of Arms x2 => 0.58
Non-tiered, but enhanceable.","","S","Unobtainable (Previously Rite of the Nine Event)","No"
"","The Recluse (Into the Light Variant)","SMG","Energy","Void","Lightweight","Smallbore
Hammer-forged
Full Bore","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Dynamic Sway
Hip-fire Grip
Threat Detector","Target Lock
Master of Arms
Desperate Measures","Indomitable","Lightweight/movement.
Base 13 zoom, lower than most SMGs.
Neutral TTK shift via Target Lock or DM x1: 0.73 -> 0.67
Frenzy, DM x2 or Master of Arms x1: => 0.60
Surrounded or DM x3: => 0.53","","A","Unobtainable (Previously Onslaught)","No"
"","1000 Yard Stare","Sniper Rifle","Energy","Void","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Vorpal Weapon
Discord","Closing Time
Moving Target
Mulligan","Unburied Treasure","44 Zoom
!!TRIPLE AA Perks via Origin!!
Double Handling perks
Vorpal vs Supers
 Discord/Mulligan for ammo
Origin: +10 range & +5% accuracy on weapon ready.
Max value for 0.5s->Decays to 0/0 at 3.5s.","","S","Grasp of Avarice Dungeon","No"
"","A Distant Pull","Sniper Rifle","Kinetic","Stasis","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Keep Away
Moving Target","Opening Shot
Headstone
Discord","Unsated Hunger","35 Zoom
Double AA perks.
Discord. Headstone res block.","","S","Xur","Yes"
"","Adored","Sniper Rifle","Energy","Arc","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Snapshot Sights
Elemental Capacitor","Opening Shot
Closing Time
Moving Target","Accelerated Assault
Vanguard Determination
Problem Solver","45 Zoom
Double AA perks.
Double Handling perks.","","S","Vanguard Pinnacle Ops / Zavala Vendor","No"
"","ALLEN 05","Sniper Rifle","Kinetic","Strand","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Built To Blast","Moving Target
To The Pain
Butterfly","Carrion Munitions","40 Zoom
Double AA perks.
Butterfly + Origin for AoE.","","A","Distortions Events","No"
"","Alone as a God","Sniper Rifle","Kinetic","Kinetic","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf","Adhesive Ordnance
Closing Time","Elliptical Orbit","45 Zoom
Double Handling perks.
Adhesive Ordnance for 3 Ammo per brick.
Origin provides stability & flinch resist, or Ammo gen.","","A","Pantheon Raid","No"
"","Apostate","Sniper Rifle","Energy","Arc","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Closing Time
Butterfly
Triple Tap","Opening Shot
Meganeura","Loss","40 Zoom
Double AoE perks.
INSANE Origin trait that provides AA, Stability and Handling passively.","","A","Altars of Sorrow Event on Moon","No"
"","Beloved","Sniper Rifle","Energy","Solar","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Snapshot Sights
No Distractions
Firmly Planted","Moving Target
Quickdraw
Incandescent","To Excess","40 Zoom
Double Handling perks.
Incandescent for AoE/DoT.","","A","Presage
Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Bite of the Fox","Sniper Rifle","Kinetic","Kinetic","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Snapshots Sights
No Distractions
Firmly Planted
Slickdraw","Iron Gaze
Opening Shot
Moving Target
Vorpal Weapon","Skulking Wolf","43 Zoom
Skulking Wolf sniper.
Vorpal vs Supers.
Iron Gaze gives +20 AA","","B","Iron Banner / Saladin Vendor","No"
"","Conspiracy Honed","Sniper Rifle","Kinetic","Stasis","Dynamic (140RPM)","Fluted Barrel
Arrowhead
Corkscrew","Overclocked
Light Heatsink
Particle Repeater","Handling
Stability
Range","Delicate Tuning
Lone Wolf
Vorpal Weapon
Headstone
Snapshot Sights","Opening Shot
Moving Target
Firefly","Imperial Allegiance","40 Zoom
Functionally Rapid-Fire frame.
Vorpal vs. Supers
Headstone res block.
Double AA perks.
Double AoE perks via Headstone/Firefly","","S","Equilibrium Dungeon","No"
"","Critical Anomaly","Sniper Rifle","Kinetic","Stasis","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Opening Shot
Keep Away
Built to Blast
Chill Clip
Quickdraw","Snapshot Sights
Headstone
Explosive Payload","Collective Purpose","43 Zoom
Double Handling Perks.
Headstone res block.
Explosive Payload aggressive frame deals 71 splash dmg, which allows for significant around-cover chip.
Origin: Provides stacking Range & Handling near allies.
x1 = +5 R /+5 H
x2 = +7.5(?) R / 15
x3 = +? / +? (Upward scaling)","","A","Salvation's Edge Raid","Yes"
"","Defiance of Yasmin","Sniper Rifle","Kinetic","Kinetic","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Snapshot Sights
No Distractions
Firefly","Opening Shot
Moving Target
Vorpal Weapon","Runneth Over","40 Zoom
Vorpal vs. Supers.","","B","King's Fall Raid","Yes"
"","Embraced Identity","Sniper Rifle","Energy","Void","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Vorpal Weapon
Opening Shot
Withering Gaze","Moving Target
Elemental Capacitor
Box Breathing","Dealer's Choice","46 Zoom
Wither/Vorpal/Box vs Supers
Double AA perks.
INSANE Origin provides extra Super gen, bonus further increased when paired w/ other Dealer's Choice weapons.
This is extremely pertinent as this is a SPECIAL weapon, which means free bonus super gen in the backpack when paired w/ a Dealer's Choice Primary/Heavy.
Enhanced Dealer's Choice x1 = +0.6%(?), x2 = +2%(?), x3 = +5%(?)
Ace of Spades, Khvostov 7G-0X, and Still Hunt count as weapons for purpose of stacking Origin but do not benefit themselves (i.e., they do not generate bonus super gen on kills with those weapons specifically)","","S","Pale Heart Destination","Yes"
"","Eye of Sol","Sniper Rifle","Kinetic","Kinetic","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Lone Wolf
Moving Target
No Distractions","Opening Shot
Adhesive Ordnance
Closing Time
Snapshot Sights","Wild Card
Fleet Footed
Roar of Battle","45 Zoom
Double AA perks.
Adhesive Ordnance provides 3 ammo per brick.
Wild Card for res block/aoe.
Fleet Footed+Lone Wolf for AE.","","S","Trials of Osiris / Saint-14 Vendor","No"
"","Father's Sins","Sniper Rifle","Energy","Void","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Under Pressure
No Distractions","Opening Shot
Eye of the Storm
Snapshot Sights
Withering Gaze","Psychohack","35 Zoom.
Double AA perks.
Wither for Primary clean-ups.","","S","Throne World Destination","Yes"
"","Frozen Orbit","Sniper Rifle","Energy","Void","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Moving Target
No Distractions","Opening Shot
Keep Away
Closing Time
Snapshot Sights
Vorpal Weapon","Roar of Battle
Accelerated Assault","50 Zoom.
Double AA perks.
Vorpal vs. Supers","","A","Crucible / Shaxx Vendor","No"
"","IKELOS_SR_v1.0.3","Sniper Rifle","Energy","Solar","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Seraph Rounds
Steady","Handling
Stability
Range","Moving Target
Perpetual Motion
Fragile Focus
No Distractions","Elemental Capacitor
Incandescent
Box Breathing
Under-Over","Rasputin's Arsenal","45 Zoom
Double Handling perks.
Box vs. Supers
Under-Over vs Overshields.
Incan for AoE/Burn.","","C","Operation: Seraph's Shield Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Keen Thistle","Sniper Rifle","Energy","Solar","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Under Pressure
Snapshot Sights
Incandescent","Opening Shot
Moving Target
Closing Time
Vorpal Weapon","Roar of Battle
Fleet Footed
Häkke Breach Armaments","35 Zoom
Double AA perks.
Double Handling perks.
Vorpal vs. Supers
Incan for AoE/Burn.
Lone Wolf+Fleet Foot for AE","","S","Trials of Osiris / Saint-14 Vendor","No"
"","Last Foray","Sniper Rifle","Energy","Solar","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Moving Target
Keep Away
Discord
Quickdraw","Snapshot Sights
Explosive Payload
Incandescent","Veteran's Wisdom
Field-Tested","55 Zoom
Discord for Ammo.
Incan for AoE/Burn
Explosive Payload Aggressive for around-cover chip (71 dam).
Vet. Wisdom does small AoE dam & EXHAUSTS in a 9 meter area on activation.","","B","EDZ destination","No"
"","Locus Locutus","Sniper Rifle","Kinetic","Stasis","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Keep Away
Discord","Opening Shot
Headstone
Box Breathing
Under-Over","Head Rush","40 Zoom
Headstone res block.
Box vs. Supers.
Under-Over vs Overshields.
Discord for Ammo.","","A","Xur","Yes"
"","Mechabre","Sniper Rifle","Energy","Arc","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Keep Away
Snapshot Sights","Opening Shot
Closing Time
Discord
Vorpal Weapon
To The Pain","Search Party","45 Zoom
Double AA perks.
TRIPLE Handling Perks (Origin provides Handling/ADS Move Speed when no allies within 15 meters.)
Discord for Ammo.
Vorpal vs. Supers.","","S","Tenet of Bravery","No"
"","Mercurial Overreach","Sniper Rifle","Energy","Arc","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Lone Wolf
Keep Away
Discord
Snapshot Sights
No Distractions
Fragile Focus","Opening Shot
Moving Target
Closing Time
Elemental Capacitor
Vorpal Weapon
Box Breathing","None (Has access to stocks instead)","40 Zoom
Double AA perks.
Double Handling perks.
Discord for ammo.
Vorpal/Box vs. Supers.","","S","Comp / Shaxx Vendor","No"
"","Occluded Finality","Sniper Rifle","Energy","Arc","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Lone Wolf
Moving Target
Snapshot Sights
No Distractions","Opening Shot
Closing Time
Vorpal Weapon
Mulligan","Skulking Wolf","58 Zoom
Skulking Wolf sniper.
Double AA perks.
Double Handling perks.
Vorpal vs. Supers
Mulligan for ammo.","","S","Iron Banner / Saladin Vendor","No"
"","Omniscient Eye","Sniper Rifle","Energy","Solar","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Elemental Capacitor
No Distractions
Mulligan","Opening Shots
Closing Time
Snapshot Sights
Vorpal Weapon
Box Breathing
Incandescent","Photoinhibition","40 Zoom
Origin does 16(?)% extra damage vs. Overshields & Woven Mail. NOT FROST ARMOR.
Double AA perks.
Double Handling perks.
Mulligan for ammo.
Vorpal/Box vs. Supers.
Incan for AoE/burn.","","S","Garden of Salvation Raid","Yes"
"","Praedyth's Revenge","Sniper Rifle","Kinetic","Kinetic","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Snapshot
No Distractions
Kinetic Tremors
Discord","Opening Shot
Closing Time
Firefly","Timelost Magazine","49 Zoom
Extra super gen via Origin.
KT activates on 2 hits, for a guaranteed 2HKO.
Firefly for AoE.","","B","Vault of Glass Raid","Yes"
"","Sole Survivor","Sniper Rifle","Energy","Arc","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Snapshot Sights
Elemental Capacitor
","Eye of the Storm","Gun and Run","40 Zoom
","","D","Gambit / Drifter Vendor","No"
"","Something Something","Sniper Rifle","Kinetic","Kinetic","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Snapshot Sights
No Distractions
Discord","Adhesive Ordnance
Box Breathing","Accelerated Assault
Vanguard Determination","43 Zoom
Box vs. Supers.
Discord/Adhesive for Ammo.
Adhesive provides 3 ammo on pickup.","","S","Tenet of Bravery","No"
"","Succession (Deep Stone Crypt Raid Variant)","Sniper Rifle","Kinetic","Kinetic","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Moving Target
Firmly Planted
No Distractions
Slideways
Discord","Snapshot Sights
Thresh
Vorpal Weapon
Box Breathing","Bray Inheritance","50 Zoom
Vorpal/Box vs. Supers.
Thresh for Super gen.
Discord for ammo.","","C","Deep Stone Crypt Raid","Yes"
"","Tatara Gaze","Sniper Rifle","Energy","Arc","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Snapshot Sights
Quickdraw
Discord","Closing Time
Box Breathing","Forge's Kin","50 Zoom
Double Handling perks.
Box vs. Supers
Discord for ammo.","","C","Arena Ops / Zavala Vendor","No"
"","The Helmsman","Sniper Rifle","Energy","Arc","High-Impact","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Snapshot
Discord
Explosive Payload
No Distractions","Opening Shot
Closing Time
Gear Shift
Vorpal Weapon
Box Breathing","Roar of Battle
Field Tested
Accelerated Assault","25 Zoom. LOWEST ZOOM.
Unique Frame, NLB at home
Double AA perks.
Double Handling perks.
Vorpal/Box vs. Supers.
Discord for ammo.
Gearshift x1 body shot = 163, allowing 1c HC/Scout rifle clean ups.
Explosive Payload aggressive frame around-cover chip (71 dam).","","S","Crucible / Shaxx Vendor","No"
"","The Supremacy","Sniper Rifle","Kinetic","Kinetic","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Lone Wolf
Keep Away
Snapshot Sights
Discord","Opening Shot
Closing Time
Elemental Capacitor
Kinetic Tremors
Vorpal Weapon","Explosive Pact","40 Zoom
Double AA perks.
Double Handling perks.
Tremors allow 2-shot bodyshot.
Vorpal vs. Supers.
Discord for ammo.","","S","Last Wish Raid","Yes"
"","Tranquility","Sniper Rifle","Kinetic","Kinetic","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Moving Target
Closing Time
No Distractions
Rampage","Snapshot Sights
Box Breathing
Elemental Honing","Loss","45 Zoom
Goofy 1 shot body shot via Rampage x3 + Ele Honing x5.
Box vs. Supers
INSANE Origin trait that provides AA, Stability and Handling passively.","","A","Moon Destination","No"
"","Trophy Hunter","Sniper Rifle","Energy","Void","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Dimensional Shift
Pulse Monitor","Snapshot Sights
Withering Gaze
Buttefly
Vorpal Weapon","Fail-deadly","50 Zoom
Double Handling perks.
Butterfly for AoE.
Withering for clean ups/Dimensional Shift pairing.
Vorpal vs. Supers.","","C","Nessus Destination","No"
"","Twilight Oath","Sniper Rifle","Energy","Solar","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Opening Shot
Lone Wolf
No Distractions","Snapshot Sights
Vorpal Weapon
Box Breathing
Incandescent","Advanced Reflexes","35 Zoom
Double Handling perks.
Vorpal/Box vs. Supers.
Incan for AoE/burn.","","B","Dreaming City Destination","No"
"","Uzume RR4","Sniper Rifle","Energy","Solar","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Snapshot Sights
Discord","Vorpal Weapon
Incandescent
Explosive Payload","Omolon Fluid Dynamics
Vanguard Determination
Problem Solver","50 Zoom
Vorpal vs. Supers.
Incan for AoE/Burn.
Explosive Payload around-cover chip (62.5 dam)","","D","Vanguard / Zavala Vendor","No"
"","Volta Bracket","Sniper Rifle","Kinetic","Strand","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Keep Away
Firmly Planted","Opening Shot
Under Pressure
Eye of the Storm
Explosive Payload","Nanotech Tracer Missiles","50 Zoom
Explosive Payload aggressive frame around-cover chip (71 dam).","","C","Neptune Destination","No"
"","Refurbished A499","Sniper Rifle","Heavy","Kinetic","Disruption Weapon","Fluted
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Moving Target
Snapshot Sights
No Distractions","Mulligan
Aggregate Charge
Box Breathing","Accelerated Assault
Air-Cooled Core","Heavy sniper.
Unique frame.
One shot body shot for 254 damage.
Mulligan for forgiveness.","","S","Lawless Frontier","No"
"","Naeem's Lance","Sniper Rifle","Kinetic","Strand","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Elemental Capacitor","Opening Shot
Elemental Honing","Sundering","37 Zoom.
Weak Column 1 perks.","","C","Warlord's Ruin Dungeon","No"
"","Lance Ephemeral","Sniper Rifle","Kinetic","Strand","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Snapshot Sights
Built To Blast","Closing Time
Elemental Honing","Frame of Reference","40 Zoom.
Double Handling perks.
Strong origin trait.
Provides extra damage, range, and reload speed. Buff pauses on stow, and timer only progresses while weapon is readied, allowing the buff to be ""backpacked"". 
Dmg buff: x1 = 1.45% / x2 = 2.8%  / x3 = 4.2% / x4 = 5.6% / x5 = 7%","","A","Desert Perpetual Raid","No"
"","Rapid Growth","Sniper Rifle","Energy","Arc","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Keep Away
Snapshot Sights","Closing Time
Gear Shift
Binary Orbit","Dream Work
Hakke Breach Armaments","35 Zoom.
Double Handling perks.
Double accuracy.
Gear Shift for neutral damage buff.","","A","Tenet of Bravery","No"
"","Shoreline Dissident","Sniper Rifle","Energy","Void","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Explosive Payload","Closing Time
","Bray Legacy","35 Zoom.
Double Handling perks.
Double AA perks.","","A","Tenet of Bravery","No"
"","Veleda-F","Sniper Rifle","Energy","Void","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Lone Wolf
Snapshot Sights
No Distractions","Opening Shot
Closing Time
Withering Gaze
Vorpal Weapon","Hakke Breach Armaments","47 Zoom.
Double AA perks.
Double Handling perks.
Withering for cleanups on body shots.
Vorpal vs. Supers.","","A","Gunsmith Legacy Focusing","No"
"","Sovereignty","Sniper Rifle","Energy","Void","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Discord
Explosive Payload
No Distractions","Withering Gaze
Box Breathing","Dark Ether Reaper","45 Zoom.
Origin has basically 0 value in PvP.
Discord Sniper.
Withering Gaze for primary clean ups on body shots.
Box Breathing vs. Supers.","","C","Xur","No"
"","The Domino","Sniper Rifle","Energy","Solar","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Slideways
Pulse Monitor","Opening Shot
Moving Target
Mulligan","Nadir Focus","45 Zoom.
Mid Column 1 traits.","","C","Gunsmith Legacy Focusing","No"
"","Luna Regolith III","Sniper Rifle","Energy","Solar","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Under Pressure
Snapshot Sights
Quickdraw","Opening Shot
Moving Target
Eye of the Storm","Wild Card
Vanguard's Vindication","43 Zoom.
Good traits.
Double AA/Accuracy perks.
Wild Card prevents res for a short time/provides AoE.","","B","Vanguard / Zavala Vendor","No"
"","Persuader","Sniper Rifle","Energy","Void","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Keep Away
Discord","Opening Shot
Moving Target","Nadir Focus
Vanguard's Vindication","35 Zoom.
Double AA perks.
Discord sniper.","","B","Xur","No"
"","Sherpard's Watch","Sniper Rifle","Kinetic","Kinetic","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Moving Target
Under Pressure
No Distractions","Opening Shot
Snapshot","None","50 Zoom.
Double AA perks.","","A","Xur / Dares of Eternity Loot Pool","No"
"","Albruna-D","Sniper Rifle","Energy","Arc","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Moving Target
No Distractions
Elemental Capacitor","Opening Shot
Eye of the Storm
Snapshot Sights
Vorpal Weapon","Gun and Run
Hakke Breach Armaments","45 Zoom.
Double AA perks.","","A","Gambit / Drifter Vendor","No"
"","Gallu RR3","Sniper Rifle","Energy","Arc","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","No Distractions","Snapshot Sights","Omolon Fluid Dynamics","40 Zoom.
Mid perks.","","C","Gunsmith Legacy Focusing","No"
"","Irukandji","Sniper Rifle","Kinetic","Stasis","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Under Pressure
Keep Away","Opening Shot
Eye of the Storm
Headstone","Veist Stinger","40 Zoom.
Double AA Perks.","","A","Gunsmith Legacy Focusing","No"
"","Thoughtless","Sniper Rifle","Kinetic","Stasis","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Firmly Planted
Perpetual Motion","Snapshot Sights
Quickdraw
Headstone","Land Tank","46 Zoom.
Mid perks.","","B","Vox Obscura
Legacy Loot
Classic Collections Modifier: ON","Yes"
"","Silicon Neuroma","Sniper Rifle","Kinetic","Kinetic","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Snapshot Sights
Firmly Planted
Perpetual Motion","Opening Shot
Frenzy","Vanguard's Vindication
Stunning Recovery","43 Zoom.
Decent perks. Mid origin traits.","","B","Xur","No"
"","Fugue-55","Sniper Rifle","Energy","Void","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","No Distractions","Moving Target
Snapshot Sights
Box Breathing
Vorpal Weapon","Suros Synergy","50 Zoom.
Mid Column 1 perks.","","C","Gunsmith Legacy Focusing","No"
